챔피언명,직업군,포지션,티어,종합_점수,변화량,승률,포지션_사용률,픽률,밴률,KDA
퀸,원거리 딜러,미드,B,44.2,-2.63,52.97%,11.23%,0.29%,1.36%,2.28
라칸,서포터,서포터,최상위,70.91,3.7,51.57%,98.95%,8.24%,1.93%,2.9
람머스,탱커,정글,A,49.63,-1.58,51.87%,80.90%,2.69%,8.45%,3.11
람머스,탱커,탑,D,30.44,-3.91,50.24%,15.06%,0.43%,8.45%,1.61
렉사이,전사,정글,S,69.23,-9.71,52.87%,91.38%,5.50%,18.74%,2.79
렐,탱커,서포터,최상위,80.81,11.71,54.34%,85.97%,7.93%,13.06%,2.95
렐,탱커,정글,B,46.63,0,52.51%,13.00%,1.15%,13.06%,3.58
레나타 글라스크,서포터,서포터,B,44.57,-0.25,51.03%,98.68%,1.93%,0.50%,2.64
레넥톤,전사,탑,최상위,77.61,12.07,50.03%,91.06%,7.64%,3.83%,1.9
렝가,암살자,정글,S,62.69,0.83,49.97%,82.23%,5.92%,21.29%,2.37
렝가,암살자,탑,C,39.96,-1.09,50.65%,14.21%,1.06%,21.29%,2.02
리븐,전사,탑,A,55.5,0.6,50.19%,89.32%,4.32%,1.51%,1.81
럼블,전사,미드,B,47.23,6.27,53.20%,18.85%,0.65%,1.37%,2.58
럼블,전사,탑,B,45.51,3.43,50.28%,65.29%,2.31%,1.37%,2.12
럼블,전사,정글,D,31.2,2.43,49.62%,13.22%,0.47%,1.37%,2.86
라이즈,마법사,미드,B,45.59,-0.42,50.26%,82.64%,2.18%,0.23%,2.35
라이즈,마법사,탑,C,35.71,-1.31,51.59%,14.87%,0.41%,0.23%,1.98
사미라,원거리 딜러,원거리 딜러,S,57.04,-4.91,49.47%,97.60%,10.77%,21.63%,2.19
세주아니,탱커,정글,A,49.91,3.2,50.44%,85.88%,3.52%,0.72%,3.27
세나,원거리 딜러,서포터,S,62.66,1.54,50.84%,91.84%,6.86%,2.56%,2.51
세라핀,마법사,서포터,A,52.34,0.66,49.76%,66.64%,4.81%,1.33%,2.45
세라핀,마법사,원거리 딜러,A,49.21,9.81,53.81%,22.28%,1.28%,1.33%,3
세라핀,마법사,미드,B,46.72,1.94,51.81%,10.71%,0.75%,1.33%,2.93
세트,전사,탑,S,65.36,0.03,49.81%,82.55%,6.05%,3.17%,1.69
샤코,암살자,정글,S,58.88,-1.71,48.97%,74.03%,5.60%,16.77%,2.7
샤코,암살자,서포터,C,36.03,-2.37,47.60%,18.41%,1.43%,16.77%,2.29
쉔,탱커,탑,S,57.59,1.12,51.53%,82.25%,2.91%,0.46%,2.95
쉔,탱커,서포터,D,30.62,-3.85,46.95%,10.97%,0.38%,0.46%,2.52
쉬바나,전사,정글,D,31.35,-1.37,49.07%,81.87%,1.34%,0.34%,2.44
쉬바나,전사,탑,D,28.01,1.2,49.04%,11.87%,0.21%,0.40%,1.88
신지드,탱커,미드,A,48.88,0,54.30%,10.14%,0.22%,0.41%,2.79
신지드,탱커,탑,B,40.16,0.15,50.48%,77.44%,1.56%,0.43%,1.97
사이온,탱커,탑,S,57,-5.09,49.47%,78.90%,4.99%,2.62%,1.62
사이온,탱커,미드,C,35.89,-2.49,50.31%,10.70%,0.66%,2.62%,1.32
시비르,원거리 딜러,원거리 딜러,B,42.9,6.74,50.57%,97.18%,3.20%,0.65%,2.37
스카너,전사,정글,C,38.1,2.14,52.13%,78.56%,0.86%,0.20%,2.72
스카너,전사,탑,D,30.61,2.28,49.34%,16.44%,0.14%,0.18%,2.21
소나,서포터,서포터,A,53.15,1.33,52.29%,97.95%,3.36%,0.19%,2.85
소라카,서포터,서포터,S,60.35,1.97,51.66%,96.76%,5.62%,1.61%,2.77
스웨인,마법사,원거리 딜러,A,50.89,0,55.50%,11.54%,0.51%,2.91%,2.98
스웨인,마법사,미드,A,49.53,2.35,52.94%,24.19%,1.29%,2.91%,2.72
스웨인,마법사,서포터,A,49.45,2.38,50.54%,57.41%,3.69%,2.91%,2.34
사일러스,마법사,미드,A,55.65,0.17,49.23%,57.23%,5.79%,8.24%,2.13
사일러스,마법사,정글,C,39.44,-0.52,48.69%,30.22%,3.05%,8.24%,2.4
신드라,마법사,미드,A,56.32,2.63,50.55%,92.20%,5.32%,2.87%,2.29
탐 켄치,서포터,탑,C,38.72,-1.8,48.00%,62.72%,1.84%,0.89%,2.32
탐 켄치,서포터,서포터,C,34.87,-5.55,49.08%,27.70%,0.74%,0.96%,2.25
탈리야,마법사,미드,B,44.88,2.15,51.60%,62.89%,1.24%,0.34%,2.32
탈리야,마법사,정글,D,33.28,2.33,50.82%,23.12%,0.45%,0.34%,2.75
탈론,암살자,미드,A,52.37,0.53,51.25%,71.73%,3.76%,2.44%,2.29
탈론,암살자,정글,D,33.38,-1.72,49.56%,24.97%,1.39%,2.44%,2.51
타릭,서포터,서포터,A,47.44,-1.88,52.17%,91.80%,1.96%,0.42%,2.78
티모,원거리 딜러,탑,S,58.84,-1.71,50.72%,70.59%,4.37%,7.02%,1.72
티모,원거리 딜러,서포터,D,30.82,-4.14,47.98%,10.89%,0.72%,7.69%,1.73
쓰레쉬,서포터,서포터,최상위,91.09,6.4,50.65%,95.92%,13.79%,5.98%,2.58
트리스타나,원거리 딜러,미드,B,47.21,4.01,50.67%,31.64%,2.91%,3.62%,1.99
트리스타나,원거리 딜러,원거리 딜러,B,44.29,3.9,49.03%,63.87%,6.15%,3.62%,2.2
트런들,전사,정글,C,39.07,0.94,50.87%,63.74%,1.84%,0.99%,2.6
트런들,전사,탑,C,35.29,-1.63,51.56%,31.04%,0.80%,0.99%,1.58
트린다미어,전사,미드,B,41.47,1.77,51.99%,11.30%,0.32%,2.05%,2.07
트린다미어,전사,탑,B,40.25,-0.88,49.36%,79.39%,2.21%,2.05%,1.75
트위스티드 페이트,마법사,미드,B,43.98,-0.59,48.43%,89.24%,3.00%,0.27%,2.17
트위치,원거리 딜러,원거리 딜러,B,46.23,3.18,51.04%,76.30%,4.53%,4.54%,2.37
트위치,원거리 딜러,서포터,D,33.25,0.76,48.49%,12.59%,0.77%,4.54%,2.08
우디르,전사,정글,C,39.12,0.8,49.90%,80.64%,2.45%,2.10%,2.5
우디르,전사,탑,D,32.19,2.43,50.58%,16.87%,0.52%,2.10%,1.7
우르곳,전사,탑,B,46.28,0.42,50.96%,90.93%,2.41%,1.00%,1.94
바루스,원거리 딜러,원거리 딜러,B,45.2,-1.82,49.65%,76.66%,6.08%,2.39%,2.21
바루스,원거리 딜러,탑,D,28.59,-14.81,47.32%,13.88%,1.11%,2.39%,1.71
베인,원거리 딜러,원거리 딜러,B,44.25,3.85,49.37%,81.02%,6.32%,4.53%,2.02
베인,원거리 딜러,탑,C,35.52,4.94,50.52%,15.47%,1.21%,4.53%,1.55
베이가,마법사,미드,A,54.59,-3.66,50.59%,73.42%,4.86%,3.97%,2.17
베이가,마법사,원거리 딜러,C,39.26,7.06,51.16%,13.32%,0.82%,3.97%,2.22
베이가,마법사,서포터,D,28.09,0,46.50%,10.67%,0.70%,4.32%,1.8
벨코즈,마법사,미드,B,44.1,2.21,51.38%,29.58%,0.70%,0.41%,2.6
벨코즈,마법사,서포터,B,41.32,1.55,50.97%,65.61%,1.66%,0.41%,2.14
벡스,마법사,미드,A,50.2,-2.15,50.60%,93.02%,3.28%,3.76%,2.37
바이,전사,정글,B,42.18,-13.38,48.51%,94.59%,4.05%,1.94%,2.3
비에고,암살자,정글,S,70.33,5.05,49.72%,95.17%,9.12%,2.56%,2.47
빅토르,마법사,미드,A,54.13,2.05,51.34%,94.35%,4.28%,2.41%,2.27
블라디미르,마법사,미드,A,54.65,3.61,51.53%,77.73%,3.96%,5.95%,2.42
블라디미르,마법사,탑,C,34.53,-0.44,49.13%,20.15%,0.99%,5.95%,2.05
볼리베어,전사,탑,C,36.96,-0.57,48.43%,61.85%,2.17%,0.63%,1.64
볼리베어,전사,정글,D,33.68,-1.42,50.15%,32.98%,1.02%,0.63%,2.64
워윅,전사,정글,A,49.91,-3.99,50.07%,68.71%,4.74%,5.18%,2.17
워윅,전사,탑,C,36.27,-3.06,49.47%,28.10%,1.42%,5.18%,1.79
오공,전사,정글,C,38.79,-4.57,49.13%,75.46%,2.62%,1.25%,2.64
오공,전사,탑,D,33.59,0.72,49.92%,18.56%,0.58%,1.25%,2.06
